node,t_death
35,54.751551
70,64.757681
130,69.572754
65,73.280182
173,74.838913
172,83.249705
201,85.146572
117,88.034170
188,92.237334
310,92.816212
306,94.626504
218,97.439726
278,99.111048
373,100.416605
264,103.497631
236,104.162559
119,104.587923
3,104.994530
370,105.115535
97,106.012749
22,106.040905
336,107.027734
156,107.613412
186,108.803962
135,109.049708
80,110.107087
54,111.489979
196,111.489979
340,112.292716
270,113.139916
224,114.697623
111,115.234848
206,116.367902
180,116.516023
276,117.162041
96,117.345544
253,117.416903
307,119.256880
255,119.305853
208,120.216303
311,120.355968
154,120.969396
217,121.286014
82,121.415235
114,121.462238
280,122.036539
33,122.463440
18,123.711548
83,124.839022
100,124.839022
0,124.840126
44,125.023263
231,125.624190
356,126.212973
273,126.312679
297,126.424170
30,127.824142
251,128.058108
131,128.334261
150,128.459766
175,128.630003
315,128.819960
105,129.099821
91,130.359223
383,130.481803
299,130.784278
38,130.870657
295,130.936510
123,130.971034
31,131.190365
157,131.541030
110,131.610463
326,132.096359
277,132.253692
67,132.442981
74,132.594021
229,132.714769
166,134.060460
260,134.242371
300,134.316707
112,135.074010
380,135.913907
147,136.081368
169,138.696829
398,138.925040
13,139.125194
183,139.707649
331,139.837639
7,140.118587
282,140.322153
258,140.445706
394,140.497588
152,140.544204
228,140.881029
347,141.304297
177,141.688630
246,141.868493
234,141.977308
227,142.083335
213,142.177253
85,142.560412
153,142.668642
215,142.934339
190,143.473988
125,143.937268
318,144.334944
352,144.893082
95,145.227165
138,145.362074
342,145.500386
5,145.545416
187,145.902153
151,146.091229
29,146.328840
376,147.097011
104,147.663335
250,147.849778
237,148.710700
210,149.845652
323,149.889569
358,150.624769
322,151.802895
39,152.223572
341,152.373418
42,152.492497
34,153.151731
209,153.436793
247,153.489705
219,153.492316
124,154.230110
184,154.375497
41,154.482866
139,154.494886
320,155.194160
116,155.611065
45,157.728642
52,159.024942
304,159.722140
171,160.203603
14,160.290076
241,160.393583
9,160.603307
120,160.615760
284,161.810978
11,162.184916
357,162.400138
159,162.440053
164,164.250272
355,164.335760
249,164.409726
24,164.963876
170,165.058049
390,165.215997
372,165.221646
240,165.284815
122,165.317528
43,165.369341
386,165.430420
79,165.945182
133,166.827907
71,167.100759
51,168.120773
330,168.321176
63,168.374879
15,168.525319
89,168.754688
305,168.810001
391,169.142043
338,169.197772
81,169.229279
28,169.400918
145,169.701687
348,169.884189
345,170.108137
176,170.216047
316,170.643298
73,171.979821
226,172.776743
344,173.085050
385,173.391045
148,173.524299
2,174.304589
211,174.733748
254,174.934260
232,175.343228
235,175.795874
314,175.815337
94,176.655208
248,177.686206
389,178.010762
53,178.244755
238,178.258969
346,178.688190
366,178.999189
339,179.116539
143,179.158874
319,179.210922
17,179.245512
382,179.584285
12,179.706807
393,180.386133
308,180.706560
230,181.010844
202,181.168035
378,181.377817
294,181.398160
20,181.597426
1,182.092929
108,182.325364
368,182.396615
293,182.540424
121,182.628270
47,182.698549
292,182.853492
361,183.045850
69,183.123774
362,183.744459
243,183.839980
103,184.075060
317,184.150846
62,184.337430
216,184.559103
98,184.624841
195,185.001550
369,185.579188
4,186.046014
118,186.967624
364,187.088068
194,188.160283
212,188.597049
56,188.668977
332,188.736491
363,189.033610
50,189.829656
84,190.189163
115,190.446431
57,190.505836
128,190.608949
291,191.202919
146,191.220333
287,191.763479
325,193.333797
132,193.562223
106,193.686232
313,195.645641
222,196.336021
55,196.723342
257,197.011583
60,197.066408
321,197.080197
23,197.116295
48,197.348571
285,197.460631
136,197.757714
252,198.048281
179,198.290444
349,198.401346
261,199.285712
72,200.463400
335,200.468174
199,200.897953
78,200.999440
309,201.285628
137,201.769527
256,202.647062
312,202.877346
360,202.885878
328,203.175928
142,203.360039
337,203.425927
127,203.900576
58,204.056908
351,204.207640
75,204.375076
359,204.931823
266,205.061922
245,206.214781
350,206.330040
225,206.488979
26,206.998941
289,208.410330
61,209.037906
303,209.208531
327,209.998735
144,210.457395
113,212.268051
302,212.508053
381,212.742690
371,213.024489
296,213.119057
367,213.237674
163,213.587179
259,213.797996
354,213.926721
181,214.167815
182,214.312764
397,214.336919
334,214.949597
233,215.152200
37,215.411280
274,215.982241
205,217.061609
392,217.259643
25,217.320012
77,217.496797
101,220.237303
10,220.701561
244,223.538034
343,224.517858
36,227.213917
281,228.232104
59,229.795563
290,230.786717
268,232.199834
388,232.342466
192,233.067258
93,233.640673
395,234.001339
88,235.096779
8,237.561446
19,238.061848
40,241.236055
377,242.149396
185,242.439246
126,242.759033
262,243.221853
155,245.409089
223,245.681305
263,257.927125
275,260.365342
21,260.399035
46,278.081497
396,289.339180
203,294.006321
221,296.072141
324,305.339257
298,308.151815
141,309.364720
239,310.874540
365,312.994503
66,315.444929
149,319.333396
86,322.538281
399,332.748339
64,348.223781
161,367.013346
200,390.117466
197,391.347065
286,396.170322
329,403.136454
189,406.490773
140,413.600270
134,422.820975
32,432.524606
269,436.963919
353,458.252076
214,460.109680
267,469.734472
107,493.404869
167,499.120349
301,528.622286
271,541.343176
174,596.795214
191,599.189806
387,599.607536
374,609.692276
92,666.789676
109,676.244614
384,683.610241
160,683.761883
76,687.969958
162,688.372324
220,703.035189
207,742.305326
379,753.278907
283,762.473725
68,770.183919
102,796.752497
16,805.188113
129,936.140594
165,936.892235
198,945.937825
265,952.039981
272,1000.561453
193,1075.652894
178,1086.844639
27,1094.006530
204,1097.960725
168,1114.382990
99,1118.650587
49,1189.890495
279,1213.140504
333,1277.645952
87,1359.789539
375,1374.329408
6,1451.032670
158,1542.262329
242,1584.398343
90,1666.627482
288,1666.695914
